Year;Country;Indicator Name;Value;Periodicity;Aggregation method;Unit of measure
1986;Kuwait;Bank return on assets (%, before tax);;;;
1986;Kuwait;Consolidated foreign claims of BIS reporting banks to GDP (%);32.62458;;;
1986;Kuwait;Deposit money banks'' assets to GDP (%);93.5456;;;
1986;Kuwait;Financial system deposits to GDP (%);91.75619;;;
1986;Kuwait;Firms using banks to finance working capital (%);;;;
1986;Kuwait;Foreign banks among total banks (%);;;;
1986;Kuwait;Global leasing volume to GDP (%);;;;
1986;Kuwait;Gross portfolio debt assets to GDP (%);;;;
1986;Kuwait;Investments financed by banks (%);;;;
1986;Kuwait;Life insurance premium volume to GDP (%);;;;
1986;Kuwait;Liquid liabilities in millions USD (2000 constant);34673.86;;;
1986;Kuwait;Loan from a private lender in the past year (% age 15+);;;;
1986;Kuwait;Mutual fund assets to GDP (%);;;;
1986;Kuwait;Stock market total value traded to GDP (%);;;;
1986;Oman;Account used to receive remittances (% age 15+);;;;
1986;Oman;ATMs per 100,000 adults;;;;
1986;Oman;Bank accounts per 1,000 adults;;;;
1986;Oman;Bank noninterest income to total income (%);;;;
1986;Oman;Bank regulatory capital to risk-weighted assets (%);;;;
1986;Oman;Bank return on assets (%, after tax);;;;
1986;Oman;Credit card (% age 15+);;;;
1986;Oman;Depositing/withdrawing at least once in a typical month (% age 15+);;;;
1986;Oman;Electronic payments used to make payments (% age 15+);;;;
1986;Oman;External loans and deposits of reporting banks vis-Ã -vis the nonbanking sectors (% of domestic bank deposits);;;;
1986;Oman;Gross portfolio equity assets to GDP (%);;;;
1986;Oman;Loan from an employer in the past year (% age 15+);;;;
1986;Oman;Loan in the past year (% age 15+);;;;
1986;Oman;Market capitalization excluding top 10 companies to total market capitalization (%);;;;
1986;Oman;Mobile phone used to pay bills (% age 15+);;;;
1986;Oman;Outstanding domestic private debt securities to GDP (%);;;;
1986;Oman;Remittance inflows to GDP (%);0.53618;;;
1986;Oman;Stock price volatility;;;;
1986;Oman;Value of collateral needed for a loan (% of the loan amount);;;;
1986;Oman;Value traded excluding top 10 traded companies to total value traded (%);;;;
1986;Oman;Working capital financed by banks (%);;;;
1986;Qatar;Account at a formal financial institution (% age 15+);;;;
1986;Qatar;ATMs per 100,000 adults;;;;
1986;Qatar;Bank accounts per 1,000 adults;;;;
1986;Qatar;Bank cost to income ratio (%);;;;
1986;Qatar;Bank non-performing loans to gross loans (%);;;;
1986;Qatar;Bank regulatory capital to risk-weighted assets (%);;;;
1986;Qatar;Bank return on assets (%, before tax);;;;
1986;Qatar;Credit card (% age 15+);;;;
1986;Qatar;External loans and deposits of reporting banks vis-Ã -vis the banking sector (% of domestic bank deposits);;;;
1986;Qatar;Firms not needing a loan (%);;;;
1986;Qatar;Foreign bank assets among total bank assets (%);;;;
1986;Qatar;Foreign bank assets among total banks assets (%);;;;
1986;Qatar;Loans from nonresident banks (amounts outstanding) to GDP (%);;;;
1986;Qatar;Market capitalization excluding top 10 companies to total market capitalization (%);;;;
1986;Qatar;Nonfinancial corporate bonds to total bonds and notes outstanding (%);;;;
1986;Qatar;Non-life insurance premium volume to GDP (%);;;;
1986;Qatar;Provisions to nonperforming loans (%);;;;
1986;Qatar;Remittance inflows to GDP (%);;;;
1986;Qatar;Stock market total value traded to GDP (%);;;;
1986;Qatar;Stock market turnover ratio (%);;;;
1986;Qatar;Value of collateral needed for a loan (% of the loan amount);;;;
1986;Saudi Arabia;5-bank asset concentration;;;;
1986;Saudi Arabia;Account used to receive remittances (% age 15+);;;;
1986;Saudi Arabia;Bank accounts per 1,000 adults;;;;
1986;Saudi Arabia;Bank branches per 100,000 adults;;;;
1986;Saudi Arabia;Bank credit to bank deposits (%);131.9694;;;
1986;Saudi Arabia;Bank return on assets (%, before tax);;;;
1986;Saudi Arabia;Banking crisis dummy (1=banking crisis, 0=none);0.0;;;
1986;Saudi Arabia;Checks used to make payments (% age 15+);;;;
1986;Saudi Arabia;Corporate bond issuance volume to GDP (%);;;;
1986;Saudi Arabia;Deposit money banks'' assets to GDP (%);19.476879999999998;;;
1986;Saudi Arabia;Domestic credit to private sector (% of GDP);18.4039;;;
1986;Saudi Arabia;Firms using banks to finance working capital (%);;;;
1986;Saudi Arabia;Firms with a bank loan or line of credit (%);;;;
1986;Saudi Arabia;Firms with a checking or savings account (%);;;;
1986;Saudi Arabia;Loan from a financial institution in the past year (% age 15+);;;;
1986;Saudi Arabia;Market capitalization excluding top 10 companies to total market capitalization (%);;;;
1986;Saudi Arabia;Non-life insurance premium volume to GDP (%);;;;
1986;Saudi Arabia;Outstanding international private debt securities to GDP (%);;;;
1986;Saudi Arabia;Pension fund assets to GDP (%);;;;
1986;Saudi Arabia;Small firms with a bank loan or line of credit (%);;;;
1986;Saudi Arabia;Stock market return (%, year-on-year);;;;
1987;Bahrain;Bank return on assets (%, before tax);;;;
1987;Bahrain;Bank return on equity (%, after tax);;;;
1987;Bahrain;Consolidated foreign claims of BIS reporting banks to GDP (%);334.9036;;;
1987;Bahrain;Credit flows by fintech and bigtech companies to GDP (%);;;;
1987;Bahrain;Credit to government and state-owned enterprises to GDP (%);18.55663;;;
1987;Bahrain;Debit card (% age 15+);;;;
1987;Bahrain;Financial system deposits to GDP (%);69.34193;;;
1987;Bahrain;Firms identifying access to finance as a major constraint (%);;;;
1987;Bahrain;Firms using banks to finance working capital (%);;;;
1987;Bahrain;Foreign bank assets among total banks assets (%);;;;
1987;Bahrain;International debt issues to GDP (%);;;;
1987;Bahrain;Liquid assets to deposits and short term funding (%);;;;
1987;Bahrain;Loan from a financial institution in the past year (% age 15+);;;;
1987;Bahrain;Loan from an employer in the past year (% age 15+);;;;
1987;Bahrain;Loan in the past year (% age 15+);;;;
1987;Bahrain;Market capitalization excluding top 10 companies to total market capitalization (%);;;;
1987;Bahrain;Number of listed companies per 1,000,000 people;;;;
1987;Bahrain;Outstanding international public debt securities to GDP (%);;;;
1987;Bahrain;Pension fund assets to GDP (%);;;;
1987;Bahrain;Stock price volatility;;;;
1987;Bahrain;Value of collateral needed for a loan (% of the loan amount);;;;
1987;Bahrain;Value traded excluding top 10 traded companies to total value traded (%);;;;
1987;China;5-bank asset concentration;;;;
1987;China;Account used to receive wages (% age 15+);;;;
1987;China;Bank return on assets (%, before tax);;;;
1987;China;Bank return on equity (%, after tax);;;;
1987;China;Bank return on equity (%, before tax);;;;
1987;China;Central bank assets to GDP (%);6.093016;;;
1987;China;Consolidated foreign claims of BIS reporting banks to GDP (%);4.440366;;;
1987;China;Debit card (% age 15+);;;;
1987;China;Deposit money bank assets to deposit money bank assets and central bank assets (%);92.59363;;;
